Sandbox logs:
0 OpenBLAS WARNING - could not determine the L2 cache size on this system, assuming 256k
START RequestId: 798d753e-31aa-4417-9b77-08604fa1b331 Version: $LATEST
END RequestId: 798d753e-31aa-4417-9b77-08604fa1b331
171100 30 -30
171200 31 -31
171300 36 -29
171400 22 -24
171500 31 -31
171600 27 -31
171700 27 -30
171800 23 -22
171900 26 -33
172000 30 -30
172100 24 -24
172200 35 -24
172300 28 -28
172400 23 -32
172500 25 -25
172600 24 -24
172700 32 -48
172800 30 -31
172900 20 -20
173000 28 -22
173100 29 -32
173200 32 -40
173300 21 -21
173400 24 -24
173500 26 -29
173600 25 -24
173700 20 -20
173800 29 -29
173900 31 -31
174000 30 -29
174100 20 -20
174200 31 -33
174300 25 -25
174400 29 -29
174500 23 -23
174600 28 -30
174700 25 -30
174800 31 -32
174900 25 -25
175000 21 -21
175100 23 -28
175200 26 -34
175300 22 -22
175400 27 -27
175500 24 -24
175600 31 -31
175700 22 -22
175800 26 -26
175900 20 -26
176000 37 -30
176100 29 -29
176200 21 -21
176300 25 -20
176400 29 -26
176500 24 -24
176600 23 -23
176700 38 -30
176800 26 -26
176900 29 -29
177000 29 -30
177100 30 -38
177200 27 -27
177300 30 -30
177400 31 -31
177500 23 -27
177600 29 -29
177700 24 -24
177800 29 -29
177900 29 -29
178000 23 -23
178100 25 -24
178200 21 -29
178300 27 -27
178400 23 -23
178500 36 -25
178600 32 -22
178700 25 -21
178800 25 -26
178900 31 -28
179000 31 -38
179100 37 -25
179200 28 -28
179300 26 -26
179400 31 -26
179500 33 -31
179600 30 -29
179700 22 -22
179800 28 -28
179900 23 -26
180000 28 -36
180100 21 -28
180200 24 -23
180300 19 -20
180400 28 -27
180500 26 -26
180600 28 -28
180700 28 -27
180800 21 -21
180900 29 -29
181000 31 -22
181100 23 -23
181200 29 -29
181300 29 -30
181400 27 -27
181500 25 -25
181600 31 -31
181700 28 -21
181800 21 -26
181900 27 -27
182000 26 -32
182100 22 -22
182200 39 -29
182300 23 -23
182400 28 -28
182500 30 -29
182600 22 -22
182700 31 -33
182800 32 -32
182900 20 -20
183000 23 -23
183100 28 -27
183200 36 -29
183300 28 -29
183400 32 -22
183500 24 -24
183600 26 -40
183700 24 -23
183800 22 -31
183900 30 -30
184000 24 -28
184100 26 -32
184200 26 -26
184300 32 -32
184400 29 -29
184500 21 -21
184600 22 -30
184700 22 -22
184800 33 -28
184900 30 -27
185000 31 -31
185100 28 -28
185200 22 -22
185300 23 -22
185400 37 -29
185500 32 -32
185600 32 -41
185700 22 -21
185800 23 -24
185900 24 -24
186000 24 -25
186100 32 -42
186200 22 -34
186300 35 -27
186400 22 -22
186500 26 -26
186600 28 -28
186700 26 -26
186800 23 -23
186900 29 -29
187000 29 -30
187100 23 -32
187200 23 -24
187300 23 -32
187400 27 -37
187500 31 -30
187600 25 -26
187700 26 -26
187800 29 -21
187900 35 -27
188000 27 -27
188100 29 -28
188200 31 -37
188300 27 -31
188400 26 -26
188500 29 -29
188600 24 -24
188700 24 -24
188800 23 -22
188900 25 -25
189000 23 -23
189100 25 -30
189200 28 -28
189300 22 -22
189400 31 -31
189500 24 -24
189600 27 -23
189700 26 -26
189800 26 -23
189900 30 -36
190000 23 -23
190100 26 -30
190200 29 -30
190300 28 -32
190400 32 -23
190500 32 -32
190600 24 -24
190700 30 -29
190800 30 -34
190900 26 -35
191000 25 -25
191100 29 -29
191200 22 -22
191300 35 -26
191400 30 -29
191500 34 -29
191600 28 -28
191700 28 -28
191800 28 -31
191900 26 -25
192000 29 -29
192100 26 -25
192200 28 -27
192300 27 -26
192400 27 -27
192500 38 -25
192600 30 -29
192700 25 -29
192800 20 -20
192900 36 -26
193000 27 -28
193100 26 -27
193200 22 -28
193300 26 -28
193400 24 -24
193500 24 -24
193600 25 -25
193700 21 -21
193800 25 -23
193900 32 -31
194000 29 -28
194100 31 -40
194200 26 -27
194300 26 -27
194400 31 -31
194500 21 -21
194600 30 -30
194700 28 -28
194800 30 -30
194900 25 -25
195000 35 -27
195100 29 -29
195200 21 -21
195300 30 -30
195400 30 -25
195500 20 -21
195600 30 -22
195700 32 -29
195800 30 -33
195900 24 -24
196000 30 -35
196100 28 -28
196200 25 -34
196300 35 -26
196400 29 -22
196500 20 -20
196600 24 -24
196700 34 -23
196800 28 -28
196900 26 -26
197000 21 -21
197100 24 -24
197200 26 -28
197300 36 -28
197400 21 -21
197500 30 -25
197600 26 -27
197700 23 -34
197800 22 -22
197900 37 -26
198000 28 -28
198100 23 -28
198200 31 -33
198300 24 -32
198400 33 -30
198500 32 -39
198600 25 -25
198700 27 -22
198800 28 -28
198900 23 -24
199000 31 -32
199100 23 -23
199200 31 -31
199300 31 -30
199400 25 -25
199500 22 -22
199600 28 -28
199700 30 -30
199800 28 -28
199900 34 -28


Submission logs:
